Category,Title,Description,ImageFile,LogoFile,VideoFile,Genre,Match,Year,IMDb,Streams
Highlight,PHAN VIỆT,"Social Content Mentor tại Conan School. 7 năm kinh nghiệm trong Content Marketing & Truyền thông. Mình giúp các chuyên gia có được sự công nhận tương xứng với năng lực, thông qua các lớp học về viral content và THCN.",/images/cover.jpg,,mirror.mp4,Mentor,99%,1997,9.9/10,Start
Cột mốc Content Mentor,Chia sẻ tại Manulife,"Làm việc cùng các chuyên gia top 1.5 - 2% thế giới mảng tư vấn tài chính & bảo hiểm. Ấn tượng là mọi người nhiều năng lượng, ai nấy cười phớ lớ.",/images/hanhtrinh1.avif,,https://padlet.com/conan_group/about-phan-vi-t-uou1u3b7nqji5fmy,Workshop,98%,2024,Active,Lead
Cột mốc Content Mentor,Workshop Hook tại TP.HCM,"Đi Sài Gòn cùng team Conan, tổ chức 2 buổi offline workshop chia sẻ cho gần 40 anh chị em về Hook và Viral Content.",/images/hanhtrinh2.avif,,https://padlet.com/conan_group/about-phan-vi-t-uou1u3b7nqji5fmy,Workshop,95%,2023,Active,Guide
Cột mốc Content Mentor,Workshop Content Strategy tại HN,"Chia sẻ tại The Folder - một private working space về Message Map. Có anh Thi (Founder SilenceStandard), chị Phương chủ Sushila,... cùng nhiều anh chị em quản lý, chủ doanh nghiệp khác tham gia.",/images/hanhtrinh3.avif,,https://padlet.com/conan_group/about-phan-vi-t-uou1u3b7nqji5fmy,Workshop,94%,2023,Completed,Team
Cột mốc Content Mentor,Bế giảng lớp lớp Content đầu tiên,Rất quý anh chị em K1. Đặc biệt là anh Đức Huy (Forbes 30 Under 30 tại Mỹ) đã call và chia sẻ về những góp ý cho lớp học.,/images/hanhtrinh4.avif,,https://padlet.com/conan_group/about-phan-vi-t-uou1u3b7nqji5fmy,Course,92%,2021,2 Years,Build
Cột mốc Content Mentor,Thành lập Conan School,3 anh em ngày thành lập Conan School. Hình như anh Đắc chọn quán Nhật... khá giống với theme của Conan hiện tại.,/images/hanhtrinh5.avif,,https://padlet.com/conan_group/about-phan-vi-t-uou1u3b7nqji5fmy,School,90%,2020,1 Year,Staff
Hành trình 100.000 shares,Tấm cám ngoại truyện,Sáng tác. Một trong những nội dung có lượt shares nhiều nhất Việt Nam năm 2017 trên Facebook,/images/nghinshare1.jpg,,https://www.facebook.com/media/set/?set=a.1637721212911026&type=3,50.000 shares,100%,GOTY,Deep,Story
Hành trình 100.000 shares,Bí mật Viral của Mr. Beast,"Nếu muốn 1 triệu view đầu tiên, hãy đọc bài viết này",/images/nghinshare2.jpg,,https://www.facebook.com/cuoi.thu.5/posts/pfbid02a1b8UhpUw3MkRSSX8Toe4JHFBUFhuTLYfN6pEPTnk7x5okXjLYkebs4pTFvgbmHPl,8500 shares,99%,GOTY,Lore,Vibe
Hành trình 100.000 shares,Bài học từ Mr. Bean,Kẻ giỏi viện cớ hiếm khi giỏi điều gì khác.,/images/nghinshare3.jpg,,https://www.facebook.com/cuoi.thu.5/posts/pfbid0XPVrXv73UY1bMFs9zaVuHjdSmrybzJhsGM2Yfod3hS98igYshC1vMs5Do9TaR1fl,2000 shares,98%,Study,Hook,Pace
Hành trình 100.000 shares,Bài học từ Alex Hormozi,Tại sao việc cố gắng thành công nhanh lại dẫn tới thất bại.,/images/nghinshare4.jpg,,https://www.facebook.com/cuoi.thu.5/posts/pfbid0nzGRfwzUXNGAmD36q52Vc3svgVMtxhi1uUWoJ8TdXyPqKWsHUc3bbJgzeRY2s9KZl,3600 shares,97%,Viral,Break,Down
Lớp sắp khai giảng,Viral Content,Lớp học Viral cho người bận rộn.,https://images.unsplash.com/photo-1455390582262-044cdead277a?q=80&w=2073,,https://www.conan.school/live-courses/viral-content,Course,95%,Course,Craft,Word
Lớp sắp khai giảng,Personal Branding,Giúp bạn nhận được sự công nhận đúng với năng lực.,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?q=80&w=2070,,https://www.conan.school/live-courses/personal-branding,Course,98%,Course,Root,Think
Lớp sắp khai giảng,Sản phẩm học viên,Những nỗ lực đã được đền đáp xứng đáng.,https://images.unsplash.com/photo-1488190211105-8b0e65b80b4e?q=80&w=2070,,https://padlet.com/conan_group/viral-content-products-twpi9itcjlfjqo6v,Product,96%,Product,Run,Write
Lớp sắp khai giảng,Học viên nói gì,Không biết viết gì vào đây cả,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?q=80&w=2028,,https://padlet.com/conan_group/viral-content-testimonials-8lvtmjec317ngmer,Testimonials,99%,Tesimoinal,Why,Best
Những người thầy,Cô Long Truyền Thông,Bài học về Tư duy chiến lược và Sự tử tế trong nghề.,/images/nguoithay1.jpg,,https://www.facebook.com/nguyenngoclongtruyenthongtrangden,Mentor,100%,Communication,Soul,Path
Những người thầy,Paul Graham,"Tư duy khởi nghiệp, làm điều mọi người cần và viết lách súc tích.",/images/nguoithay2.jpg,,https://www.paulgraham.com/articles.html,Thinker,99%,Startup,Write,Real
Những người thầy,Naval Ravikant,"Sự giàu có thực sự, hạnh phúc và đòn bẩy trong thời đại mới.",/images/nguoithay3.jpg,,https://nav.al/,Wisdom,98%,Startup,Lever,Peace
Những người thầy,Sam Altman,"Tầm nhìn tương lai, AI và cách kiến tạo những điều vĩ đại.",/images/nguoithay4.jpg,,https://blog.samaltman.com/,Future,97%,AI,Big,View
