Category,Title,Description,ImageFile,LogoFile,VideoFile,Genre,Match,Year,IMDb,Streams
Highlight,PHAN VIỆT,"Social Content Mentor tại Conan School. 7 năm kinh nghiệm trong Content Marketing & Truyền thông. Mình giúp các chuyên gia có được sự công nhận tương xứng với năng lực, thông qua các lớp học về viral content và THCN.",/images/cover.jpg,,mirror.mp4,Mentor,99%,1997,9.9/10,Start
Kinh Nghiệm,Conan School,"Co-founder & Mentor (2024 - Nay). Đào tạo Content Creator và xây dựng chương trình giảng dạy.",https://images.unsplash.com/photo-1524178232363-1fb2b075b655?q=80&w=2070,,,Education,98%,2024,Active,Lead
Kinh Nghiệm,Freelance Consultant,"Tư vấn & Coach về Content & Xây kênh. Hỗ trợ nhiều doanh nghiệp và cá nhân xây dựng thương hiệu.",https://images.unsplash.com/photo-1552664730-d307ca884978?q=80&w=2070,,,Consulting,95%,2023,Active,Coach
Kinh Nghiệm,SAH Class,"Marketing Team Leader (2023 - 2024). Quản lý đội ngũ và chiến lược marketing.",https://images.unsplash.com/photo-1542744173-8e7e53415bb0?q=80&w=2070,,,Management,94%,2023,Completed,Lead
Kinh Nghiệm,Amber Online Education,"Content Marketing Manager (2021 - 2023). Quản lý nội dung giáo dục trực tuyến.",https://images.unsplash.com/photo-1516321318423-f06f85e504b3?q=80&w=2070,,,EdTech,92%,2021,2 Years,Mgr
Kinh Nghiệm,EMASI Schools,"Content Writer (2020 - 2021). Sáng tạo nội dung cho hệ thống trường song ngữ.",https://images.unsplash.com/photo-1497633762265-9d179a990aa6?q=80&w=2073,,,Writing,90%,2020,1 Year,Staff
Kinh Nghiệm,Urah Network,"Content Writer (2017 - 2018). Bước khởi đầu với nghề Content.",https://images.unsplash.com/photo-1455390582262-044cdead277a?q=80&w=2073,,,Writing,88%,2017,1 Year,Junior
Dự Án Viral,Truyện Tấm Cám,"Chuyện chưa bao giờ kể. 50.000 shares, 15.000 bình luận. Một hiện tượng viral storytelling.",https://images.unsplash.com/photo-1626814026160-2237a95fc5a0?q=80&w=2070,,,Viral,100%,2016,Hit,50K+ Shares
Dự Án Viral,Lớp Sharable Content,"Đào tạo học viên đạt 100 - 10.000 shares. Lan tỏa tư duy làm content giá trị.",https://images.unsplash.com/photo-1531403009284-440f080d1e12?q=80&w=2070,,,Education,98%,2024,Ongoing,High Impact
Dự Án Viral,Chuỗi bài về Content,"Chuỗi bài viết >1000 shares trên Facebook cá nhân Phan Việt. Chia sẻ kiến thức thực chiến.",https://images.unsplash.com/photo-1432888498266-38ffec3eaf0a?q=80&w=2074,,,Knowledge,96%,2023,Viral,1K+ Shares
Dự Án Viral,Guest Speaker Brand-U,"Speaker về Thương hiệu cá nhân cho 400+ sinh viên AIESEC in NEU.",https://images.unsplash.com/photo-1475721027767-f4240278127b?q=80&w=2074,,,Speaker,95%,2023,Event,400+
Kỹ Năng,Viral Content Strategy,"Phân tích tâm lý lan truyền, SUCCES & STEPPS frameworks. Tạo nội dung 1000+ shares.",https://images.unsplash.com/photo-1551288049-bebda4e38f71?q=80&w=2070,,,Strategy,99%,Mastery,Expert,Core
Kỹ Năng,Content Writing,"Storytelling, Hook, CTA. Kỹ thuật viết tiêu đề hấp dẫn và chuyển đổi cao.",https://images.unsplash.com/photo-1455390582262-044cdead277a?q=80&w=2073,,,Writing,98%,Mastery,Expert,Core
Kỹ Năng,Social Strategy,"Xây dựng chiến lược dài hạn cho Facebook & TikTok. Phân tích Insight & Community.",https://images.unsplash.com/photo-1611162617474-5b21e879e113?q=80&w=1974,,,Social,96%,Mastery,Expert,Grow
Kỹ Năng,Training & Coaching,"Thiết kế chương trình đào tạo, mentoring, đánh giá và feedback.",https://images.unsplash.com/photo-1517048676732-d65bc937f952?q=80&w=2070,,,Education,95%,Mastery,Expert,Teach
Học Vấn & Giải Thưởng,NEU,"Đại học Kinh tế Quốc dân. Nền tảng tư duy kinh tế và marketing.",https://images.unsplash.com/photo-1523050854058-8df90110c9f1?q=80&w=2070,,,Degree,100%,2019,Grad,Alumni
Học Vấn & Giải Thưởng,Think Markus,"Marketing Foundation. Khóa học nền tảng tư duy Marketing bài bản.",https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?q=80&w=2070,,,Course,98%,2017,Cert,Found
Học Vấn & Giải Thưởng,Buzz Creative Camp,"Giải Nhất Creative Camp 2016. Giám khảo: Hồ Công Hoài Phương.",https://images.unsplash.com/photo-1567942712661-59b920f76568?q=80&w=1974,,,Award,99%,2016,Win,1st
Học Vấn & Giải Thưởng,Lets On Air 2016,"Top 5 Hạng mục Bài viết. Cuộc thi uy tín về truyền thông.",https://images.unsplash.com/photo-1455849318743-b2233052fcff?q=80&w=2069,,,Award,95%,2016,Top 5,Finalist
Sở Thích,Game of the Year,"Baldurs Gate 3, Elden Ring, Dota 2. Những tựa game đỉnh cao về cốt truyện và gameplay.",https://images.unsplash.com/photo-1542751371-adc38448a05e?q=80&w=2070,,,Gaming,100%,Hobby,Fan,Gamer
Sở Thích,Sách & Manga,"Nghiên cứu Marketing, Storytelling và Manga Nhật/Hàn.",https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=1998,,,Reading,98%,Hobby,Fan,Reader
